date+survey,date+reported,adm0+name,adm0+pcode,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,420,84,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,250,50,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,115,23,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,100,20,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,95,19,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,130,26,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,205,41,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,155,31,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,225,45,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,80,16,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,330,66,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,190,38,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,90,18,Khartoum,SD01,SD01006,Um Durman
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,430,86,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,200,40,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,200,40,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,190,38,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,80,16,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,485,97,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,105,21,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,155,31,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,160,32,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,185,37,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,195,39,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,110,22,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,105,21,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,0,0,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,85,17,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,230,46,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,555,111,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15034,Al Hasahisa,34,7,Khartoum,SD01,SD01007,Khartoum
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,160,32,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,190,38,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,265,53,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,220,44,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,200,40,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,110,22,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,130,26,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,260,52,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,185,37,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,205,41,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,180,36,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,515,103,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,65,13,Khartoum,SD01,SD01001,Jebel Awlia
