date+survey,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,315,63,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,295,59,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,125,25,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,110,22,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,330,66,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,305,61,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,380,76,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,330,66,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,330,66,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,305,61,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15036,Al Manaqil,305,61,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,70,14,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,440,88,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,150,30,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,0,0,Khartoum,SD01,,
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,125,25,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,125,25,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,190,38,Khartoum,SD01,SD01001,Jebel Awlia
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,50,10,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,50,10,Khartoum,SD01,SD01006,Um Durman
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,65,13,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,75,15,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,150,30,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,150,30,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,100,20,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,55,11,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,50,10,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,50,10,Khartoum,SD01,SD01003,Bahri
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,20,4,Khartoum,SD01,SD01007,Khartoum
2023-06-07 00:00:00,Aj Jazirah,SD15,SD15037,Al Qurashi,75,15,Khartoum,SD01,SD01006,Um Durman
