date+survey,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,345,69
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,345,69
2023-07-19 00:00:00,White Nile,SD09,SD09051,Aj Jabalain,345,69
2023-07-19 00:00:00,White Nile,SD09,SD09051,Aj Jabalain,345,69
2023-08-23 00:00:00,White Nile,SD09,SD09046,Rabak,345,69
2023-08-23 00:00:00,South Kordofan,SD07,SD07098,Kadugli,342,57
2023-08-23 00:00:00,South Kordofan,SD07,SD07090,Abassiya,341,55
2023-08-16 00:00:00,Gedaref,SD12,SD12078,Al Galabat Al Gharbyah - Kassab,340,68
2023-08-23 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,340,65
2023-08-23 00:00:00,North Kordofan,SD13,SD13026,Bara,340,56
2023-08-23 00:00:00,North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,340,64
2023-07-12 00:00:00,Northern,SD17,SD17015,Delgo,340,68
2023-07-12 00:00:00,White Nile,SD09,SD09049,As Salam / Ar Rawat,340,68
2023-07-19 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,335,67
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,335,67
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,335,67
2023-08-23 00:00:00,Gedaref,SD12,SD12083,Galabat Ash-Shargiah,335,71
2023-08-23 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,335,55
2023-08-23 00:00:00,West Kordofan,SD18,SD18022,An Nuhud,335,65
2023-08-16 00:00:00,White Nile,SD09,SD09051,Aj Jabalain,335,67
2023-08-23 00:00:00,North Kordofan,SD13,SD13030,Ar Rahad,335,55
2023-07-12 00:00:00,White Nile,SD09,SD09049,As Salam / Ar Rawat,335,67
2023-08-23 00:00:00,North Kordofan,SD13,SD13023,Um Rawaba,334,53
2023-08-23 00:00:00,Red Sea,SD10,SD10071,Sinkat,330,66
2023-07-12 00:00:00,Sennar,SD14,SD14039,Ad Dali,330,66
2023-08-23 00:00:00,South Kordofan,SD07,SD07088,Abu Jubayhah,330,61
2023-07-19 00:00:00,White Nile,SD09,SD09044,Ad Diwaim,330,66
2023-07-12 00:00:00,White Nile,SD09,SD09049,As Salam / Ar Rawat,330,66
2023-07-19 00:00:00,White Nile,SD09,SD09046,Rabak,330,66
2023-07-19 00:00:00,White Nile,SD09,SD09046,Rabak,330,66
2023-07-19 00:00:00,White Nile,SD09,SD09046,Rabak,330,66
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,325,65
2023-08-23 00:00:00,Gedaref,SD12,SD12081,Wasat Al Gedaref,325,65
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15030,Medani Al Kubra,325,65
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,325,65
