date+survey,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
2023-05-31 00:00:00,North Kordofan,SD13,SD13029,Gharb Bara,113,15,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13029,Gharb Bara,350,70,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13029,Gharb Bara,106,15,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13029,Gharb Bara,203,50,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13029,Gharb Bara,83,19,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13029,Gharb Bara,196,31,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13029,Gharb Bara,292,50,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13029,Gharb Bara,112,20,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13029,Gharb Bara,258,40,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13029,Gharb Bara,214,26,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13029,Gharb Bara,21,5,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,540,93,Khartoum,SD01,SD01003,Bahri
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,159,28,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,239,42,Khartoum,SD01,SD01003,Bahri
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,200,37,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,359,63,Khartoum,SD01,SD01003,Bahri
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,140,27,Khartoum,SD01,SD01003,Bahri
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,290,51,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,299,70,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,348,61,Khartoum,SD01,SD01003,Bahri
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,250,36,Khartoum,SD01,SD01001,Jebel Awlia
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,309,54,Khartoum,SD01,SD01003,Bahri
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,199,35,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,86,15,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,97,17,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,148,26,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,286,47,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,112,18,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13024,Sheikan,74,13,Khartoum,SD01,SD01003,Bahri
