date+survey,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
2023-06-14 00:00:00,North Darfur,SD02,SD02169,Al lait,690,138,North Darfur,SD02,SD02114,Al Fasher
2023-06-14 00:00:00,North Darfur,SD02,SD02169,Al lait,1290,258,Khartoum,SD01,SD01007,Khartoum
2023-06-14 00:00:00,North Darfur,SD02,SD02169,Al lait,95,19,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,North Darfur,SD02,SD02170,Tawila,3235,647,North Darfur,SD02,SD02170,Tawila
2023-06-14 00:00:00,South Darfur,SD03,SD03144,Kas,5000,1000,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03145,Mershing,5000,1000,South Darfur,SD03,SD03145,Mershing
2023-06-14 00:00:00,South Darfur,SD03,SD03147,Sharg Aj Jabal,320,64,South Darfur,SD03,SD03145,Mershing
2023-06-14 00:00:00,South Darfur,SD03,SD03150,Al Wihda,7000,1400,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03156,As Sunta,3000,600,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03158,Rehaid Albirdi,3000,600,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03161,Buram,4000,800,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03162,Beliel,12500,2500,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03162,Beliel,7500,1500,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03162,Beliel,35000,7000,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03162,Beliel,7000,1400,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03162,Beliel,1000,200,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03166,As Salam - SD,3000,600,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03166,As Salam - SD,2500,500,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03167,Nyala Janoub,30650,6130,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,South Darfur,SD03,SD03164,nyala Shimal,7665,1533,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,West Darfur,SD04,SD04115,Ag Geneina,60000,12000,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,West Darfur,SD04,SD04115,Ag Geneina,100000,20000,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,West Darfur,SD04,SD04115,Ag Geneina,26575,5315,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,West Darfur,SD04,SD04115,Ag Geneina,26645,5329,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,West Darfur,SD04,SD04115,Ag Geneina,45000,9000,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,West Darfur,SD04,SD04115,Ag Geneina,25000,5000,West Darfur,SD04,SD04115,Ag Geneina
2023-06-14 00:00:00,West Darfur,SD04,SD04115,Ag Geneina,15000,3000,West Darfur,SD04,SD04115,Ag Geneina
2023-05-30 00:00:00,East Darfur,SD05,SD05142,Ad Du'ayn,4900,980,South Darfur,SD03,SD03167,Nyala Janoub
2023-05-30 00:00:00,East Darfur,SD05,SD05142,Ad Du'ayn,2100,420,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,Central Darfur,SD06,SD06135,Um Dukhun,1000,200,Central Darfur,SD06,SD06135,Um Dukhun
2023-06-14 00:00:00,Central Darfur,SD06,SD06135,Um Dukhun,1000,200,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,Central Darfur,SD06,SD06135,Um Dukhun,500,100,Central Darfur,SD06,SD06138,Zalingi
2023-06-14 00:00:00,Central Darfur,SD06,SD06135,Um Dukhun,650,130,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,Central Darfur,SD06,SD06135,Um Dukhun,500,100,South Darfur,SD03,SD03167,Nyala Janoub
2023-06-14 00:00:00,Central Darfur,SD06,SD06137,Wadi Salih,280,56,Central Darfur,SD06,SD06137,Wadi Salih
2023-06-14 00:00:00,Central Darfur,SD06,SD06138,Zalingi,15000,3000,Central Darfur,SD06,SD06138,Zalingi
